Sigla da IES;Instituição;Patente;Autores
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNAS QUIMÉRICAS RECOMBINANTES CONTENDO EPÍTOPOS DE PROTEÍNAS DE ACINETOBACTER BAUMANNII PARA USO COMO INSUMO BIOTECNOLÓGICO;['AMILTON CLAIR PINTO SEIXAS NETO', 'BEATRIZ BATISTA BRITES', 'DEBORAH TROTA FARIAS DE ALBERNAZ', 'FREDERICO SCHMITT KREMER', 'DAIANE DRAWANZ HARTWIG', 'LUCIANO DA SILVA PINTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO DE AVALIAÇÃO ECOTOXICOLÓGICA BASEADO NA MEDIÇÃO DE BIOMARCADORES MOLECULARES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'PAGANO, ANTÔNIO D.', 'DIEGO SERRASOL DO AMARAL', 'MARIANA HARTER REMIAO', 'TONY LEANDRO REZENDE DA SILVEIRA', 'VINICIUS FARIAS CAMPOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA QUIMÉRICA RECOMBINANTE CONTENDO EPÍTOPOS DAS PROTEÍNAS CAM87009.1 E FILF DE ACINETOBACTER BAUMANNII;['AMILTON CLAIR PINTO SEIXAS NETO', 'ISABEL LADEIRA PEREIRA', 'THAYNA LANER CARDOSO', 'PAMELA SCARAFFUNI CABALLERO', 'DANIELA RODRIGUERO WOZEAK', 'DAIANE DRAWANZ HARTWIG', 'LUCIANO DA SILVA PINTO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INTERVENTION DRIVE SYSTEM COMPRISING AN UMBILICAL;['DANTE AUGUSTO COUTO BARONE', 'IGOR MENDES URSINE KRETTLI', 'JOSE ABEL TICONA LARICO', 'LAURA AMAYA TORRES', 'DAVID STEEVEN VILLA SALAZAR', 'JAIME ANDRÉS RIASCOS SALAS', 'FILIPE PAIXAO GEIGER', 'HUGO FRANCISCO LISBOA SANTOS', 'HARDY LEONARDO DA CUNHA PEREIRA PINTO', 'ANDERSON MACIEL', 'EDUARDO DONADEL BASSO', 'EDUARDO ANTONIO WINK DE MENEZES', 'JULIANO MORATO FRANZ', 'RAFAEL ANTONIO COMPARSI LARANJA', 'LUCIANA PORCHER NEDEL', 'TIAGO BECKER', 'FABIANO DISCONZI WILDNER', 'NEY ROBINSON SALVI DOS REIS', 'MAURICIO GALASSI', 'EDUARDO ANDRE PERONDI']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;NANOPLAQUETA FUNCIONALIZADA, PROCESSO DE OBTENÇÃO DA NANOPLAQUETA FUNCIONALIZADA, USO DA NANOPLAQUETA FUNCIONALIZADA, REVESTIMENTO EM PÓ, PROCESSO DE OBTENÇÃO DO REVESTIMENTO EM PÓ E USO DO REVESTIMENTO EM PÓ;['DIEGO PIAZZA', 'MARCOS VINICIUS MAROCCO', 'GUSTAVO ONZI CABERLON', 'DANIELE PERONDI']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSIÇÃO DE MEIO DE CULTURA PARA AKKERMANSIA MUCINIPHILA, PROCESSO DE PRODUÇÃO DE BIOMASSA DE AKKERMANSIA MUCINIPHILA E SEUS USOS;['SHEILA MONTIPO', 'ROSELEI CLAUDETE FONTANA', 'MARLI CAMASSOLA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;STARTUP SALT BIOTECH;['ANDREA CRISTINA BASSO', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE PRODUÇÃO VERDE DE NANOPARTÍCULAS DE PRATA UTILIZANDO EXTRATO DE BIOFLOCOS DO SISTEMA DE TECNOLOGIA EM BIOFLOCOS (BFT) COMO AGENTE REDUTOR E ESTABILIZANTE;['FABIO FELIPE GABRIEL ROSELET', 'ROBSON MATHEUS MARREIRO GOMES', 'JOSE MARIA MONSERRAT']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;GRAFENOSILICATO SINTETIZADO PELO MEIO SOL-GEL UTILIZANDO CINZAS DAS CASCAS DE ARROZ COMO FONTE DE SÍLICA;['ROGERIO MARCOS DAL LAGO', 'BRENDA ZAGO', 'FABIANA DE OLIVEIRA PEREIRA', 'ADRIELE SABRINA TODERO', 'PALOMA TRUCCOLO REATO', 'DIANA EXENBERGER FINKLER', 'MARCELO LUIS MIGNONI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FUZZYSENTCLASS: INTERVAL-VALUED FUZZY APPROACH TO SENTIMENT ANALYSIS;['ADENAUER CORREA YAMIM', 'BRUNO MOURA PAZ DE MOURA', 'RENATA HAX SANDER REISER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO PARA GENOTIPAGEM DO POLIMORFISMO RS11872992 DO GENE MC4R;['CARLOS CASTILHO DE BARROS', 'ALICE KUNZGEN SCHEER', 'AMANDA BARBOSA ATRIB', 'CLEDIA SILVEIRA FLORES DA SILVA', 'MARCELLO DE SOUZA ALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROTEÍNA ESCOLOTOXINA SSD14 DE CARRAPATO OU PEPTÍDEOS DERIVADOS E USO COMO VACINA CONTRA ÁCAROS;['ITABAJARA DA SILVA VAZ JUNIOR', 'SHAFIULLAH', 'Mashal Almutairi', 'Abdulaziz Alouffi', 'ABID ALI', 'LUIS FERNANDO PARIZI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIOCOMBUSTÍVEL OBTIDO A PARTIR DO ÓLEO DA SEMENTE DE COCÃO (ATTALEA TASSMANNI);['LUIZ ANTONIO DE ALMEIDA PINTO', 'MAURICIO ZIMMER FERREIRA ARLINDO', 'VIVIANE DE CARVALHO ARABIDIAN', 'BRUNA SILVA DE FARIAS', 'DEBORA PEZ JAESCHKE', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DETERMINAÇÃO DE CLORANFENICOL UTILIZANDO SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA;['EDNEI GILBERTO PRIMEL', 'ENEDINA SENA ALVES DE LIMA', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'JULIANA MARTINS DIAS', 'ISAAC DOS SANTOS NUNES', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'SERGIANE CALDAS BARBOSA', 'DAIANE DIAS', 'LUIZ ANTONIO DE ALMEIDA PINTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE MONITORAMENTO DE PRESSÃO PARA CIRCUITOS PNEUMÁTICOS;['FABRICIO ARDAIS MEDEIROS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;USO DE MOLÉCULAS SINTÉTICAS DE DNA RECOMBINANTE PARA O AUMENTO DE TOLERÂNCIA A SMOLTIFICAÇÃO EM SALMONÍDEOS;['VINICIUS FARIAS CAMPOS', 'MARIANA CAVALCANTI NASCIMENTO', 'LUANA FERREIRA VIANA DOS REIS', 'LAIS DOS SANTOS GONCALVES', 'LEANDRO SILVA NUNES', 'WILLIAM BORGES DOMINGUES']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE PREPARAÇÃO DE CARVÃO ATIVADO, CARVÃO ATIVADO E USO DO MESMO COMO CATALISADOR;['THIAGO BARCELLOS DA SILVA', 'Eduardo Antônio Cechinatto', 'MARCELO GODINHO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;SISTEMA DE REUSO DE ÁGUA;['JOCELEI DUARTE', 'FELIPE HENRIQUE SACHETT', 'CAMILA BALDASSO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DETERMINAÇÃO DE CLORANFENICOL UTILIZANDO SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA;['EDNEI GILBERTO PRIMEL', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'SERGIANE CALDAS BARBOSA', 'DAIANE DIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;URS REPONTE;['MARCELO TEIXEIRA PACHECO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FIBRAS ULTRAFINAS PRODUZIDAS COM FUCOIDANA E ZEÍNA POR ELECTROSPINNING;['ELESSANDRA DA ROSA ZAVAREZE', 'DE PEREIRA, CLAUDIO M. P.', 'DANIELLE TAPIA BUENO', 'FRANCIELI MORO STEFANELLO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPLEXO TERNÁRIO, SEU PROCESSO DE PRODUÇÃO, SEUS USOS E FORMULAÇÃO;['SIDNEI MOURA E SILVA', 'CARLA PERON', 'PAULO ROBERTO DOS SANTOS']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPÓSITO COMPREENDENDO GRAFENO E/OU SEUS DERIVADOS, PROCESSO DE OBTENÇÃO E USO DO MESMO;['DIEGO PIAZZA', 'MARCOS VINICIUS MAROCCO', 'GUSTAVO ONZI CABERLON', 'FRANCISCO LANFERDINI SERAFINI', 'DANIELE PERONDI']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PROCESSO DE REVELAÇÃO DO SEXO DOS BEBES EM ATIVIDADES RECREATIVAS E TEMATICAS EMPREGANDO INDICADORES DE PH;['ROGERIO MARCOS DAL LAGO', 'DIANA EXENBERGER FINKLER', 'LUCIANA DORNELLES VENQUIARUTO', 'MARCELO LUIS MIGNONI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE BENEFICIAMENTO DE LODO DE ESTAÇÃO DE TRATAMENTO DE ÁGUA PARA A CONFECÇÃO DE PRODUTOS CERÂMICOS E CIMENTÍCIOS;['MAURIZIO SILVEIRA QUADRO', 'LUIZA BEATRIZ GAMBOA ARAUJO MORSELLI', 'ROBSON ANDREAZZA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;OLEOGÉIS COMO UMA ALTERNATIVA PARA SUBSTITUIR A GORDURA HIDROGENADA EM COOKIES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'CAMILA DE OLIVEIRA PACHECO', 'ELDER PACHECO DA CRUZ', 'CRISTINA JANSEN', 'ALVARO RENATO GUERRA DIAS', 'ELESSANDRA DA ROSA ZAVAREZE']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FIBRAS ULTRAFINAS PRODUZIDAS COM ÓLEO DA MOSCA SOLDADO NEGRO E ZEÍNA POR ELECTROSPINNING;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'GABRIELLY QUARTIERI SEJANES', 'TAMARA MENDES LEITE SILVA TRINDADE', 'CRISTINA JANSEN', 'ELESSANDRA DA ROSA ZAVAREZE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;METODO DE PREVENÇAO DA FRAGILIZAÇAO POR HIDROGENIO DE COMPONENTES A PARTIR DE REVESTIMENTOS POR ASPERSAO TERMICA;['LEANDRO CAMARA NORONHA', 'CRISTIANE DE SOUZA BRANDOLT', 'ROBERTO MOREIRA SCHROEDER', 'CELIA DE FRAGA MALFATTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CONTENTOR FLEXÍVEL REVESTIDO E SISTEMA DE MONITORAMENTO INTERGRANULAR;['PAULO CARTERI CORADI', 'RONEY ELOY LIMA', 'PAULO EDUARDO TEODORO', 'CLAUDIR LARI PADIA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE EXTRAÇÃO DE UMA AMOSTRA BIOLÓGICA SÓLIDA E MÉTODO DE DETECÇÃO DE PRAGUICIDA EM EXTRATO DE AMOSTRA BIOLÓGICA SÓLIDA;['RAFAEL MENCK DE ALMEIDA', 'LUANA CONTE CROCOLI', 'SIDNEI MOURA E SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ADSORÇÃO DE CO2 EM PELLETS DE CINZAS PARA CULTIVO MICROALGAL;['JORGE ALBERTO VIEIRA COSTA', 'BRUNA DA SILVA VAZ', 'MICHELE GREQUE DE MORAIS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;EMBALAGEM BIODEGRADÁVEL OBTIDA DO RESÍDUO PROTEICO DO PROCESSAMENTO DA CERVEJA (TRUB);['VILASIA GUIMARAES MARTINS', 'LUAN GUSTAVO DOS SANTOS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SYMBIOBOX: ESTUFA PORTÁTIL PARA PRODUÇÃO ARTESANAL DE BEBIDAS FERMENTADAS POR CULTURAS DE KEFIR;['ANELISE CHRIST RIBEIRO', 'INGRID MURIELLY WEISHEIMER', 'DIEAN FABIANO ALVARES PINHEIRO', 'REJANE MACEDO MARTINS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODO PARA A RECICLAGEM DE MÓDULOS FOTOVOLTAICOS DE SILÍCIO;['HUGO MARCELO VEIT', 'LUCAS MARGAREZZI SCHMIDT', 'PABLO RIBEIRO DIAS']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE CULTIVO DE MICRORGANISMOS, COMPOSIÇÃO E USO DE ENDÓSPOROS;['SABRINA CARRA', 'LAURA ARAUJO CECCATO', 'ALESSANDRA RUSSI', 'JOSELI SCHWAMBACH', 'ELOANE MALVESSI', 'CAMILLE EICHELBERGER GRANADA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;MEMBRANA POLIMÉRICA, SEU PROCESSO DE PRODUÇÃO E SEUS USOS;['JOCELEI DUARTE', 'NATHALIA FERRONATO LIVINALLI', 'WENDEL PAULO SILVESTRE', 'CAMILA BALDASSO']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PROCESSO DE SÍNTESE DO MATERIAL MESOPOROSO GRAFENOSILICATO DO TIPO MCM-48 UTILIZANDO O SÓLIDO IÔNICO [C16MI].CL COMO AGENTE DIRECIONADOR DE ESTRUTURA DOPADO COM ÓXIDO DE LANTÂNIO (LA2O3);['ROGERIO MARCOS DAL LAGO', 'FABIANA DE OLIVEIRA PEREIRA', 'ADRIELE SABRINA TODERO', 'PALOMA TRUCCOLO REATO', 'DIANA EXENBERGER FINKLER', 'MARCELO LUIS MIGNONI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROTEÍNA ESCOLOTOXINA SSD14 DE CARRAPATO OU PEPTÍDEOS DERIVADOS E USO COMO VACINA CONTRA ÁCAROS;['ITABAJARA DA SILVA VAZ JUNIOR', 'SHAFIULLAH', 'ABID ALI', 'LUIS FERNANDO PARIZI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REHABILAR – FERRAMENTA PARA AVALIAÇÃO DE EDIFICAÇÕES AFETADAS POR EVENTOS CLIMÁTICOS EXTREMOS;['LUCAS ALEXANDRE REGINATO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FIBRAS ULTRAFINAS PRODUZIDAS COM ÓLEO DA MOSCA SOLDADO NEGRO E ZEÍNA POR ELECTROSPINNING;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'CRISTINA JANSEN', 'ELESSANDRA DA ROSA ZAVAREZE']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÃO VACINAL CONTENDO A PROTEÍNA RCP40 DE CORYNEBACTERIUM PSEUDOTUBERCULOSIS ASSOCIADA A MYCOBACTERIUM BOVIS BCG PASTEUR PARA A LINFADENITE CASEOSA;['MICHELLY FERNANDES DE MACEDO', 'MARIA DAYANA CORDEIRO BARRETO', 'THIAGO VINICIUS SANTOS E ALVES', 'LENISE MARIA PARENTE MOTA', 'ANA KAROLINA MELO OLIVEIRA BARROS', 'JANPSON ALLAN RIBEIRO GURGEL', 'RUAN DA CRUZ PAULINO', 'GABRIEL FREITAS DE MACEDO', 'MONICA ELLEN DA COSTA SOARES', 'HEVERTON LUIZ DE OLIVEIRA VALDEVINO', 'BARBARA MONIQUE DE FREITAS VASCONCELOS', 'SIBELE BORSUK', 'JAEL SOARES BATISTA', 'FRANCISCO SILVESTRE BRILHANTE BEZERRA', 'CIBELE DOS SANTOS BORGES']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;NANOEMULSÃO ANTISSÉPTICA PARA CONTROLE DE SARS-COV-2;['LETICIA MAZZARINO', 'MILENA CONCI DE ARAUJO', 'MARIA BEATRIZ DA ROCHA VELEIRINHO', 'MARCELO MARASCHIN', 'MILENE DIAS MIRANDA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE PRODUÇÃO DE KOMBUCHA ADICIONADA DE SPIRULINA E KOMBUCHA ADICIONADA DE SPIRULINA;['JORGE ALBERTO VIEIRA COSTA', 'DANIELLE RUBIM LOPES', 'MICHELE GREQUE DE MORAIS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE FABRICAÇÃO DE UM MATERIAL FOTOLUMINESCENTE, MATERIAL FOTOLUMINESCENTE, USO DO MATERIAL FOTOLUMINESCENTE, PROCESSO DE REVELAÇÃO DE IMPRESSÃO DIGITAL E PROCESSO DE REVELAÇÃO DE SANGUE;['LEANDRA FRANCISCATO CAMPO', 'INGRID MALISZEWSKI PACZKOWSKI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;COMPOSIÇÃO FOTOCATALÍTICA, PROCESSO PARA CONFORMAÇÃO DE COMPOSIÇÃO FOTOCATALÍTICA E APLICAÇÃO DE COMPOSIÇÃO FOTOCATALÍTICA;['HEBERT LUIS ROSSETTO', 'RAFAELA MEDINA DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE ELETRODO DE FILME QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA APLICADO A DETERMINAÇÃO VOLTAMÉTRICA DE CAFEÍNA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ANDRESSA BARROSO DOS SANTOS', 'SARA ALVES DA CUNHA', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'JULIANA MARTINS DIAS', 'CAROLINE ATHAIDES MILER', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'JULIANA VILLELA MACIEL', 'DAIANE DIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;IDENTIFICAÇÃO DE ESPÉCIES DE FUNGOS ASPERGILLUS UTILIZANDO A VOLTAMETRIA DE MICROPARTÍCULA IMOBILIZADA;['DAIANE DIAS', 'RAFAELA VENDRAMIN COMUNELLO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'ELIZA RODRIGUES ACOSTA', 'JAQUELINE GARDA BUFFON', 'ELIEZER QUADRO ORESTE', 'LARINE KUPSKI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PRODUTO ALIMENTÍCIO ADOCICADO E SEU PROCESSO DE FABRICAÇÃO;['NEILA SILVIA PEREIRA DOS SANTOS RICHARDS', 'CRISTIANA BASSO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO PARA GENOTIPAGEM DO POLIMORFISMO RS3813627 DO GENE APOA2;['CARLOS CASTILHO DE BARROS', 'ALICE KUNZGEN SCHEER', 'AMANDA BARBOSA ATRIB', 'CLEDIA SILVEIRA FLORES DA SILVA', 'MARCELLO DE SOUZA ALVES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;VEÍCULO BIODEGRADÁVEL CARREADOR DE MOLÉCULA HERBICIDAMENTE ATIVA;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SISTEMA DE DESLIGAMENTO RÁPIDO DE SISTEMAS FOTOVOLTAICOS A NÍVEL DE MÓDULO E DISPOSITIVO ASSOCIADO;['LEANDRO MICHELS', 'LUCAS VIZZOTTO BELLINASO']
FEEVALE;UNIVERSIDADE FEEVALE;MÉTODO DE OBTENÇÃO DE EXTRATO HIDROALCOÓLICO LIOFILIZADO DAS FOLHAS DE ACACIA MEARNSII (ACÁCIA-NEGRA) E FORMULAÇÃO DE XAMPU PARABENO FREE CONTENDO O EXTRATO.;['ANA LUIZA ZIULKOSKI', 'PATRICIA WEIMER', 'ELEN LUIZA PELISOLI FORMAGIO ABDALLA', 'EDNA SAYURI SUYENAGA', 'LETICIA SCHERER KOESTER', 'FERNANDO DAL PONT MORISSO', 'ROCHELE CASSANTA ROSSI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;USO DE ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE ÓLEO LUBRIFICANTE USADO (OLU) EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'RAFAEL GERHARDT', 'BRUNA SILVA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PREPARAÇÃO DE FERTILIZANTE A PARTIR DE LODO E CINZA COM ALGINATO COMO AGENTE AGLUTINANTE;['ANTONIO SERGIO DO AMARAL', 'MARCELA LIZ VIEIRA WIECZIKOWSKI', 'BRUNA MARIA SAORIN PUTON', 'ILIZANDRA APARECIDA FERNANDES', 'JARDES BRAGAGNOLO', 'MARCELO LUIS MIGNONI', 'ROGERIO MARCOS DAL LAGO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE ASPIRAÇÃO FOLICULAR OVARIANA POST MORTEM;['FABIANA KOMMLING SEIXAS', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL', 'BRUNA SILVEIRA PACHECO', 'ANDREA CRISTINA BASSO', 'TIAGO VEIRAS COLLARES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DISPOSIÇÃO CONSTRUTIVA DE SISTEMA DOSADOR DE SEMENTES;['FABRICIO ARDAIS MEDEIROS', 'MARLON SOARES SIGALES', 'EDUARDO WALKER', 'ANGELO VIEIRA DOS REIS', 'ANTONIO LILLES TAVARES MACHADO', 'ROGER TOSCAN SPAGNOLO', 'GIUSEPE STEFANELLO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;BCG RECOMBINANTE EXPRESSANDO EPÍTOPOS IMUNODOMINANTES DE SYCP1 E ACRBP PARA APLICAÇÕES EM IMUNOTERAPIA DO MELANOMA E CÂNCER DE BEXIGA;['FABIANA KOMMLING SEIXAS', 'STELLA JULLI FARIAS CARDOZO', 'MARIA EDUARDA EHLERT', 'JOAO VICTOR FERNANDES MARCOS', 'NIELE SILVA SOUZA', 'SUZANA LEMKE LANIUS', 'NICOLE RAMOS SCHOLL', 'FREDERICO SCHMITT KREMER', 'BRUNA SILVEIRA PACHECO', 'FERNANDA SEVERO SABEDRA SOUSA', 'SIBELE BORSUK', 'LAURA DE MORAES GOMES', 'AMILTON CLAIR PINTO SEIXAS NETO', 'TIAGO VEIRAS COLLARES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CINTA CONSTRITORA EXPANSÍVEL;['MAURICIO VELOSO BRUN']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE EXTRAÇÃO DE UMA AMOSTRA BIOLÓGICA SÓLIDA E MÉTODO DE DETECÇÃO DE PRAGUICIDA EM EXTRATO DE AMOSTRA BIOLÓGICA SÓLIDA;['SIDNEI MOURA E SILVA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSIÇÃO DE MEIO DE CULTURA PARA AKKERMANSIA MUCINIPHILA, PROCESSO DE PRODUÇÃO DE BIOMASSA DE AKKERMANSIA MUCINIPHILA E SEUS USOS;['SHEILA MONTIPO', 'ROSELEI CLAUDETE FONTANA', 'MARLI CAMASSOLA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;OLEOGÉIS À BASE DE ÓLEO DE AMENDOA DO CAROÇO DE BUTIÁ E CERA DE ABELHA COMO SUBSTITUTO DA GORDURA HIDROGENADA EM COOKIES;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'DANIELLE TAPIA BUENO', 'ALVARO RENATO GUERRA DIAS', 'ELESSANDRA DA ROSA ZAVAREZE']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PRODUÇÃO DE UMA CERVEJA ADICIONADA DE BOCAIUVA (ACROCOMIA ACULEATA);['ADMILSON COSTA DA CUNHA', 'CLAUDIA KAEHLER SAUTTER', 'CRISTIANO AUGUSTO BALLUS', 'MILENE TEIXEIRA BARCIA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DISPOSIÇÃO CONSTRUTIVA DE SISTEMA DOSADOR DE SEMENTES;['FABRICIO ARDAIS MEDEIROS', 'ARTUR ANSELMI DUARTE COSTA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÃO PARA PREVENÇÃO DA TRISTEZA PARASITÁRIA BOVINA;['FRANCISCO AUGUSTO BURKERT DEL PINO', 'NATALIA MACHADO RAHAL', 'MARCIO NUNES CORREA', 'EDUARDO SCHMITT', 'RUBENS ALVES PEREIRA', 'JOSIANE DE OLIVEIRA FEIJO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÃO PARA PREVENÇÃO DA TRISTEZA PARASITÁRIA BOVINA;['FRANCISCO AUGUSTO BURKERT DEL PINO', 'NATALIA MACHADO RAHAL', 'EDUARDO SCHMITT', 'RUBENS ALVES PEREIRA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SISTEMA DE DIFUSÃO DE AR AQUECIDO;['GIOVANI LEONE ZABOT', 'ROSANA SANTOS DE MORAES', 'PAULO EDUARDO TEODORO', 'DALMO PAIM DE OLIVEIRA', 'PAULO CARTERI CORADI']
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;PERIODONTAL PRESSURE TRAINER;['TICIANE DE GOES MARIO FERREIRA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO PARA OBTENÇÃO DE UM POLÍMERO BIODEGRADÁVEL, POLÍMERO BIODEGRADÁVEL E SEU USO;['JOCELEI DUARTE', 'CAMILA BALDASSO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DISPOSITIVO E PROCESSO PARA TROCA DE CALOR E HOMOGENEIZAÇÃO DE MISTURAS EM TUBO DE ENSAIODISPOSITIVO E PROCESSO PARA TROCA DE CALOR E HOMOGENEIZAÇÃO DE MISTURAS EM TUBO DE ENSAIO;['JULIANO SMANIOTO BARIN', 'ADRIANO MARQUES JAIME', 'LEANDRO MICHELS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FÓRMULAS PARA PREDIÇÃO DE VIGOR E VIABILIDADE DE SEMENTE DE SOJA (GLYCINE MAX (L.) MERRILL) COMO CRITÉRIO PARA A APROVAÇÃO DE CARGAS NA RECEPÇÃO;['LILIAN VANUSSA MADRUGA DE TUNES', 'NATALIA PEDRA MADRUGA', 'CRISTINA ROSSETTI']
