Sigla;Nome;Responsável
SENAI CIMATEC;COMUNIDADES VIRTUAIS;CAMILA DE SOUSA PEREIRA GUIZZO
UFSJ;Desenvolvimento de uma biorrefinaria móvel para produção de biodiesel e etanol a partir da macaúba e outras oleaginosas;DANIEL BONOTO GONCALVES
SBM;Contribuições ao Ensino de Matemática da Escola Básica;
UFMG;USO DA COMPUTAÇÃO MÓVEL COMO INSTRUMENTAL PARA O DESENHO UNIVERSAL: EDUCAÇÃO, AVALIAÇÃO E MELHORIA DO ESPAÇO URBANO;RENATO CESAR FERREIRA DE SOUZA
UFRJ;DESENVOLVIMENTO E APRIMORAMENTO DE VACINAS CONTRA ENFERMIDADES HUMANAS E VETERINÁRIAS;CLARISA BEATRIZ PALATNIK DE SOUSA
UNB;BRASÍLIA IMAGINADA: a cidade representada por meio dos seus processos simbólicos;
UNB;CARTOGRAFIAS DO DISCURSO HISTORIOGRÁFICO ARTÍSTICO;VERA MARISA PUGLIESE DE CASTRO
UFJF;PI05 - Desenvolvimento de materiais e instrumentais em Odontologia e áreas afins;MARIA DAS GRACAS AFONSO MIRANDA CHAVES
UPF;Sistema e-Lifestyle: uma solução e-Health para monitoramento das condições de saúde de pacientes hipertensos;ANA CAROLINA BERTOLETTI DE MARCHI
UERJ;QUALIFICAÇÃO E INOVAÇÃO EM PREPARAÇÃO DE AMOSTRAS PARA ANÁLISES DE IMAGEM E COMPOSIÇÃO EM EQUIPAMENTOS DE ALTA TECNOLOGIA;MIGUEL ANTONIO TUPINAMBA ARAUJO SOUZA
UNIVASF;MATEMÁTICA E TOPOGRAFIA: UMA ABORDAGEM INTERDISCIPLINAR NAS TURMAS DO PRONERA;KEDMA DE MAGALHAES LIMA
UNIVASF;DO QUINTAL AO FOGÃO PARA GERAÇÃO DE RENDA ENTRE AS MULHERES RURAIS: CONSTRUINDO TECNOLOGIAS SOCIAIS NO TERRITÓRIO DO PAJEÚ;HELDER RIBEIRO FREITAS
UNIVASF;Energia renovável acessível: Energia solar para o agricultor de baixa renda;ISAAC FARIAS CANSANCAO
UFS;Bioprodução de concentração proteico a partir de Moringa Oleifera;ANTONIO MARTINS DE OLIVEIRA JUNIOR
EGN;Laboratório de Métodos de Ensino Inovadores (LabMEI);KETIA KELLEN ARAUJO DA SILVA
USP;Estudo Clínico - HPTN 083;ESPER GEORGES KALLAS
UFAL;Estudo da eficiência do selamento imediato da dentina com adesivos contendo própolis;ISABEL CRISTINA CELERINO DE MORAES PORTO
PUCRS;Educação para a carreira em escolas públicas e privadas de Porto Alegre;MANOELA ZIEBELL DE OLIVEIRA
USP;N09.02.02 - Microprocessamento de materiais a laser;WAGNER DE ROSSI
USP;N07.01.04 - Compósitos nanoestruturados à base de silicatos;CHIEKO YAMAGATA
USP;N07.01.19 - Sensores de espécies químicas para aplicações industriais e nucleares;REGINALDO MUCCILLO
USP;N11.02.04 - Desenvolvimento de um código computacional aberto de análise quantitativa para determinação de radionuclídeos por espectrometria gama com detectores semicondutores;MARCELO FRANCIS MADUAR
UNIVASSOURAS;DESENVOLVIMENTO DE APLICATIVO PARA CONDUÇÃO DOS PACIENTES COM OBSTRUÇÃO INTESTINAL POR CÂNCER COLORRETAL;BRUNO MONTEIRO TAVARES PEREIRA
UNIFESP;Desenvolvimento de Soft Skills para o Empreendedorismo e Inovação em Discentes e Docentes em Cursos de Medicina Frente à Era da Indústria 4.0 no Setor da Saúde;EDER DE CARVALHO JANUARIO
UNIVASSOURAS;DESENVOLVIMENTO DE DISPOSITIVOS NA ÁREA MÉDICA COM AUXÍLIO DA MODELAGEM 3D;EDUARDO TAVARES LIMA TRAJANO
UFRJ;Observatório de Inovação para Cidades Sustentáveis (OICS);CLAUDIO ANTONIO GONCALVES EGLER
USP-SÃO CARLOS;Centro de Desenvolvimento de Materiais Funcionais - CDMF;ELSON LONGO DA SILVA
UFRJ;Observatórios socioambiental da Baía de Sepetiba: Metodologias participativas com pescadores e coletores artesanais na investigação, organização de acervo e subsídios para a proteção dos manguezais;CARLA BERNADETE MADUREIRA CRUZ
UNIVASSOURAS;DESENVOLVIMENTO DE APLICATIVO PARA AUXILIO NO MANEJO DA DOR EM UNIDADES DE EMERGÊNCIA;EDUARDO TAVARES LIMA TRAJANO
UEPG;INOVAÇÕES TECNOLÓGICAS NA AGROINDÚSTRIA DA MAÇÃ AVALIAÇÃO FISICO-QUÍMICA E INSTRUMENTAL DE PRODUTOS DE MAÇÃS ELABORADOS COM FRUTAS EM DIFERENTES ESTÁDIOS DE MATURAÇÃO: UMA ABORDAGEM QUIMIOMÉTRICA;ALESSANDRO NOGUEIRA
UNIPAMPA;Brio-tecnologia antártica como alternativa para produção de medicamentos.;FILIPE DE CARVALHO VICTORIA
USP;N07.17.04 - Segurança Nuclear - Nuclear Forense.;JORGE EDUARDO DE SOUZA SARKIS
UFV;Avaliação Dinâmica de Elementos de Controle Solar: a interação entre forma e desempenho em processos de projeto computacionais;ANDRESSA CARMO PENA MARTINEZ
UFPI;Desenvolvimento de formulações convencionais e sistemas nanoestruturados para aplicação em odontologia;ANDRE LUIS MENEZES CARVALHO
BUTANTAN;IDENTIFICAÇÃO DE PEPTÍDEOS DERIVADOS DA CROTOXINA COM POTENCIAL ANTITUMORAL E IMUNOMODULATÓRIO EM MODELO DE MELANOMA CUTÂNEO E DE ENCEFALOMIELITE AUTOIMUNE EXPERIMENTAL;GISELE PICOLO
USP;Políticas públicas e impactos sociais;GLAUCO ANTONIO TRUZZI ARBIX
UEMA;Programa de Inovação Centelha: a Bioengenharia de Solos como Tecnologia Social em Comunidades;JOSE FERNANDO RODRIGUES BEZERRA
UFMG;AVALIAÇÃO DE SISTEMAS DE GESTÃO EM TELESSAÚDE (SIGTEL);ANTONIO LUIZ PINHO RIBEIRO
FIOCRUZ;1800 - Implementação da Plataforma Analítica ABBOTT ALINITY M para a quantificação da carga viral do HIV e das hepatites virais em laboratório de referência da Fiocruz;SIMONE DA COSTA CRUZ SILVA
UFCG;NANORREVESTIMENTOS DE MICROALGAS PARA A CONSERVAÇÃO PÓS-COLHEITA DE FRUTOS E HORTALIÇAS;RAILENE HERICA CARLOS ROCHA ARAUJO
UFRJ;Instituto Nacional de Ciência e Tecnologia de Fármacos e Medicamentos (INCT-INOFAR, Edital 2014);ELIEZER JESUS DE LACERDA BARREIRO
UFF;Desenvolvimento e caracterização de materiais cerâmicos de alto desempenho;CLAUDINEI DOS SANTOS
UFF;Desenvolvimento de soldagem multiprocesso em materiais dissimilares;JOSE ADILSON DE CASTRO
UFAL;CRIAÇÃO E VALIDAÇÃO DE TECNOLOGIAS PARA SAÚDE;EVELINE LUCENA VASCONCELOS
UECE;BRASILNUTRI: Programa para avaliação de consumo alimentar em inquéritos nutricionais;ILANA NOGUEIRA BEZERRA
UEL;Compostos naturais biologicamente ativos: prospecção, avaliação e desenvolvimento do potencial biotecnológico;ADMILTON GONCALVES DE OLIVEIRA JUNIOR
UFSC;Metabolômica aplicada à tipificação de méis florais produzidos no Estado de Santa Catarina;MARCELO MARASCHIN
UFPR;Mecanismos de interação e seletividade do domínio EGF em fragmentos de anticorpos;NILSON IVO TONIN ZANCHIN
UFAC;ANALISE DO EFEITO DO ULTRASSOM EM TECIDO VEGETAL;LUIS EDUARDO MAGGI
UNIPAMPA;Desenvolvimento de processos de micropropagação clonal de plantas integrando cultura de tecidos, nanotecnologia e microbiologia;VALDIR MARCOS STEFENON
UERGS;Qualidade e inovação com erva-mate;MARC FRANCOIS RICHTER
PUC-RIO;CONTRASTES: Metodologia de Escuta de Crianças;IRENE RIZZINI
FIOCRUZ;Editoria Científica da revista Cadernos de Saúde Pública (CSP);LUCIANA DIAS DE LIMA
UNESC;Avalaição da síntese verde de nanopartículas de prata e cobre em um modelo animal de feridas crônicas contaminada por Staphylococcus arureus;PAULO CESAR LOCK SILVEIRA
USP;Modelo estratégico para gestão e atualização da relação nacional de equipamentos e materiais permanentes financiáveis pelo SUS (RENEM) para prover a adequação tecnológicos médico-hospitalar das instituições beneficiárias do SUS;EDUARDO MARIO DIAS
UCB;(VICENTE ALVES) Percepções de idosos infectados e não infectados pelo SARS-COV-2 sobre o envelhecimento, morte e saúde mental: uma abordagem qualitativa e ecumênica;VICENTE PAULO ALVES
FEEVALE;COMPORTAMENTO NO CONSUMO DE PRODUTOS QUE UTILIZAM ANIMAIS EM TESTES;MARCELO CURTH DE OLIVEIRA
USP-RIBEIRÃO PRETO;ABORDAGENS DE BIOLOGIA SINTÉTICA E METAGENÔMICAS PARA A CONSTRUÇÃO DE NOVOS BIOCATALIZADORES (MEG);MARIA EUGENIA GUAZZARONI
UFCG;Estruturação do sistema de gestão da qualidade e expansão dos serviços tecnológicos do laboratório CERTIBIO.;MARCUS VINICIUS LIA FOOK
UFRJ;Minha Vida Dá Um Livro;SAMIRA LIMA DA COSTA
UFMG;Encontro de Saberes na UFMG: uma proposta de pesquisa epistêmico-comunicacional;LUCIANA DE OLIVEIRA
INPE;Propulsor de Plasma Pulsado com Impulso Específico Variável - VSI - PPT;RODRIGO INTINI MARQUES
UNESC;Porta Aberta para o Sistema Único de Saúde (SUS);JACKS SORATTO
UFABC;Aplicações tecnológicas de nanocompósitos poliméricos multifuncionais;DANILO JUSTINO CARASTAN
UEPB;Adequações metodológicas e tecnológicas para o aumento da produtividade e lucratividade da hidroponicultura no semiárido brasileiro;JOSEMIR MOURA MAIA
UB;Tecnologia de produtos e processos voltada a área da produção animal;KATHERY BRENNECKE
UFRN;Plano Nacional de Inovação do Poder Judiciário;HIRONOBU SANO
USP;N04.07.03 - Sintese de Materiais Avançados;HUMBERTO GRACHER RIELLA
USP;Pesquisa desenvolvimento de um sistema RAID (Remotely Acoustic Inspection Device);MARCELO RODRIGUES
UFSCAR;Projeto de ensino / pesquisa - Engenharia de Materiais - Programa Brasil-Estados Unidos de modernização da educação superior na graduação.;SHEYLA MARA BAPTISTA SERRA
FEEVALE;ESTUDO E DESENVOLVIMENTO DE METODOLOGIA PARA RECUPERAÇÃO E ANÁLISE DAS TÉCNICAS PARA IDENTIFICAÇÃO E CARACTERIZAÇÃO DE MICROPLÁSTICOS EM SOLOS;VANUSCA DALOSTO JAHNO
FEEVALE;FASE II - CORONA-ÔMICA BR MCTI REDE NACIONAL DE GENOMAS, EXOMA E TRANSCRIPTOMA DE COVID-19;FERNANDO ROSADO SPILKI
UEM;Abordagens biotecnológicas com foco no diagnóstico, prevenção e tratamento das doenças infecciosas e não infecciosas;ERIKA SEKI KIOSHIMA COTICA
UFCAT;AGROMINERALS: ROCKS FOR CROPS;ANTONIO NILSON ZAMUNER FILHO
UNICAP;Desenvolvimento de Aplicativos para Apoio à Intervenção em Dislexia de Adultos;FRANCISCO MADEIRO BERNARDINO JUNIOR
UTFPR;Uma vertente de pesquisa e inovação do Programa Nacional de Bioinsumos liderada por mulheres da UTFPR, campus Santa Helena;DEJANE SANTOS ALVES
UNESP-BOTUCATU;GESTÃO, DESENVOLVIMENTO E SUSTENTABILIDADE DA PESQUISA CLÍNICA;CARLOS ANTONIO CARAMORI
FEEVALE;TRATAMENTO SUPERFICIAL DE MENOR IMPACTO AMBIENTAL COMO ALTERNATIVA AO PROCESSO INDUSTRIAL APLICADO EM IMPLANTES DE TITÂNIO;CLAUDIA TRINDADE OLIVEIRA
UNIFAL-MG;_INOVAÇÃO TECNOLÓGICA APLICADA A REABILITAÇÃO MUSCULOESQUELÉTICA;LEONARDO CESAR CARVALHO
UNB;Nanomateriais inteligentes aplicados à Agricultura;MARCELO OLIVEIRA RODRIGUES
UFABC;CONVÊNIO MICRONEEDS BIOTECNOLOGIA LTDA (Proc. UFABC No. 23006.009801/2022-08);WENDEL ANDRADE ALVES
FUNDECITRUS;ESTIMATIVA DA QUANTIDADE DE FRUTOS EM PÉS DE LARANJA POR MEIO DE INTELIGÊNCIA COMPUTACIONAL;FRANCISCO FERRAZ LARANJEIRA BARBOSA
USP;Impacto dos excipientes na formação de nitrosaminas em formulações farmacêuticas;MAURICIO YONAMINE
UFABC;CONVÊNIO COLGATE PALMOLIVE INDUSTRIAL LTDA (Proc. UFABC No. 23006.007615/2020-64);WENDEL ANDRADE ALVES
UFABC;CONVÊNIO UFABC/STC SILICONE TÉCNICO COMPOSTO LTDA e KINNER SILICONE RUBBER IND. COM. LTDA (Proc. UFABC No. 23006.007256/2020-45);WENDEL ANDRADE ALVES
UFABC;CONVÊNIO FIAÇÃO DE SEDA BRATAC S.A (Proc. UFABC No. 23006.001268/2019-22);WENDEL ANDRADE ALVES
UFPE;Qualidades psicométricas de equipamentos, testes, instrumentos e tecnologia aplicados às atividades motoras e saúde;TONY MEIRELES DOS SANTOS
UFRJ;Ações emergenciais para o desenvolvimento de estratégias de ensaios sorológicos para a avaliação da resposta imune humoral contra a COVID-19;AMILCAR TANURI
FSLM;USO DAS NOVAS TECNOLOGIAS DIGITAIS NA IMAGINOLOGIA;JOSE LUIZ CINTRA JUNQUEIRA
UFMT;Avaliação do efeito do óleo de copaíba (Copaifera sp) sobre o fígado e a disfunção vascular de ratos com cirrose hepática induzida por tioacetamida;GISELE FACHOLI BOMFIM
USP;Nanocristal de cetoconazol: preparação e caracterização físico-química e biológica para o tratamento de candidíase vulvovaginal;NADIA ARACI BOU CHACRA
UFPE;3D bioPol: Plataforma de impressão 3D e desenvolvimento tecnológico de produtos pra saúde a base de biopolímeros;MONICA FELTS DE LA ROCA SOARES
UFRN;Mapeamento e avaliação dos serviços ecossistêmicos em fragmentos de Mata Atlântica do estado de Sergipe;ADAUTO DE SOUZA RIBEIRO
UENF;Construção e implementação no Brasil de sistemas de concentração solar e materiais fotocatalíticos para purificação química e biológica em águas e ar;MARIA CRISTINA CANELA
UFT;1.09 Promoção de medidas para implementação da eficiência do gasto no âmbito das IFES no Brasil;GENTIL VELOSO BARBOSA
USP;Aplicação de Analytical Quality by Design (AQbD) no desenvolvimento de métodos de dissolução;FELIPE REBELLO LOURENCO
FIOCRUZ;Desenvolvimento e validação de metodologias analíticas e bioanalíticas para o controle de qualidade de produtos e insumos farmacêuticos;ERIKA MARTINS DE CARVALHO
FIOCRUZ;Gestão do conhecimento e inovação tecnológica em saúde;JORGE LIMA DE MAGALHAES
FIOCRUZ;Ações estratégicas relacionadas a patentes visando a redução de preço de medicamentos;WANISE BORGES GOUVEA BARROSO
BUTANTAN;Políticas de prevenção de doenças infecciosas por georreferenciamento de doenças infecciosas e causadas por agentes sexualmente transmissíveis;MARCO ANTONIO ZONTA
UFRN;Transportadores Sólido de Oxigênio a Base de Perovskitas para Produção de Energiacom Captura de CO2: Estudo da Influência da Morfologia na Reatividade e Desenvolvimento de Métodos de Controle;DULCE MARIA DE ARAUJO MELO
UFRGS;FUNDAMENTAL MOTOR SKILLS ANIMATION (FMSA-App) AND GROSS MOTOR SKILLS ANIMATION (GMS-App);NADIA CRISTINA VALENTINI
FIOCRUZ;Desenvolvimento de Anticorpos  bloqueadores da integrina VLA-4 como potencial biofármaco para o tratamento de doenças inflamatórias crônicas;MARCO ALBERTO MEDEIROS
FURG;LeME Transforma;MAUREN PORCIUNCULA MOREIRA DA SILVA
UFBA;RECURSOS HÍDRICOS E DESENVOLVIMENTO SUSTENTÁVEL NA BAHIA;MAURO JOSE ALIXANDRINI JUNIOR
UFDPAR;Desenvolvimento de aplicativo m-learning com realidade aumentada para processo de aquisição de conhecimento;SILMAR SILVA TEIXEIRA
UNICENTRO;Design, biossegurança clínica e prova de conceito de CPs derivados de ossos de peixe e com reforço de Nb2O5 para implantes ortopédico e odontológico;MAURO LUCIANO BAESSO
UERJ;Prototipagem e avaliação clínica do Kit de Coleta de Células;DIEGO PINHEIRO AGUIAR
USP;Análise digital e microscópica da imunocitoquímica dual para detecção simultânea dos biomarcadores p16INK4a e Ki-67 e da citologia oncológica em amostras cervicovaginais de mulheres e pessoas com útero com infecção pelo Papillomavirus Humano (HPV);ANDREA BALAN FERNANDES
ITA;Projeto SPORT (Scintilation Prediction Observations Research Task);LUIS EDUARDO VERGUEIRO LOURES DA COSTA
IFMT;DESENVOLVIMENTO DE UM REVESTIMENTO ECOLÓGICO A PARTIR DO LODO DE ETE DE UMA INDÚSTRIA DE TINTAS DE MATO GROSSO;JOSIAS DO ESPIRITO SANTO CORINGA
UFT;gui-rojeto de Inovação Pedagógica (PIP) Engenharia de Alimentos 2022;GUILHERME BENKO DE SIQUEIRA
USP;MIN_AO²: GESTÃO SISTÊMICA DO PLANEJAMENTO E OPERAÇÃO DE LAVRA NA MINA DO FUTURO;GIORGIO FRANCESCO CESARE DE TOMI
UERJ;Desenvolvimento de uma ferramenta dinâmica e automática para auxiliar a determinação de intervalo de referência de parâmetros laboratoriais a partir de um banco de dados de grande porte.;LUIS CRISTOVAO DE MORAES SOBRINO PORTO
USP;Transformação digital na rotulagem de medicamentos;EDUARDO MARIO DIAS
UNIFESP;Construção do instrumento de rubrica como ferramenta mediadora de aprendizagem do processo de enfermagem;MARIA ELISABETE SALVADOR GRAZIOSI
UFRN;Desenvolvimento de uma plataforma computacional de dados clínicos para otimização dos fluxos de trabalhos e integração de informações médicas nas clínicas de saúde;GIBEON SOARES DE AQUINO JUNIOR
UERJ;UDT Qualitec Laboratório afeTAR;ALEXANDRA CLEOPATRE TSALLIS
UFES;Microemulsão-ASP Contendo Quitosana Modificada Aplicada na Recuperação Avançada de Petróleo em Reservatórios Carbonáticos - (Auxílio Bolsa – ANP - R$ 47.200,00);VALDEMAR LACERDA JUNIOR
IFES;Cerâmicas refratárias;ANDRE GUSTAVO DE SOUSA GALDINO
UFES;Empreendedorismo Inovador e Estímulo às ações de Spin-Off Acadêmicas visando o aumento de Startups geradas no âmbito da UFES - (Auxílio Bolsa - FAPES - R$ 43.200,00);VALDEMAR LACERDA JUNIOR
UERJ;Quanto custa formar um médico? Proposta de desenvolvimento de metodologia generalizável para estimar o custo da formação de médicos no Brasil.;MARIO ROBERTO DAL POZ
UNIFESP;Sistema de Informação e Assistência (SIA) às pessoas com deficiência visual, em modelo plataforma multilateral online | SAI Visual;IVAN MAYNART TAVARES
UNIFAL-MG;Desenvolvimento de Reforços Tridimensionais de Fibra de Carbono para Aplicação em Próteses;ANTONIO CARLOS ANCELOTTI JUNIOR
UTFPR;NanoCel- Desenvolvimento de Plataformas de Nanocelulose Bacteriana Funcionalizadas;SAMARA SILVA DE SOUZA
FURB;Valorização da lignina para preparação de nanopartículas e sua aplicação no beneficiamento têxtil;JURGEN ANDREAUS
UFPE;Alternativas Terapêuticas Aplicadas no Desenvolvimento de Medicamento Fitoterápico Á Base de Momordica charantia L. No Combate Á Geo-Helmintíases;PEDRO JOSE ROLIM NETO
UFABC;Desenvolvimento de módulos de potência de célula a combustível a etanol direto para aplicações automotivas por impressão 3D de nanocompósitos poliméricos condutores;DANILO JUSTINO CARASTAN
UFPE;Desenvolvimento de comprimidos de liberação prolongada de fosfato de cálcio a partir de sistemas multiparticulados para profilaxia/tratamento de desmineralização óssea;PEDRO JOSE ROLIM NETO
UFPE;Goma do Cajueiro (Anacardium ocidentale L.): polissacarídeo extraído de árvore. Processos de obtenção, modificações químicas, desenvolvimento de insumos e produtos.;MONICA FELTS DE LA ROCA SOARES
UFRJ;A 'colaboração premiada' e a incriminação de terceiros no caso da 'Operação Radioatividade' no Rio de Janeiro;JOANA DOMINGUES VARGAS
UFRGS;Desenvolvimento de Supercapacitor;MARCOS JOSE LEITE SANTOS
UECE;COVID19-qPCRCluster: Kit de avaliação Imunológica e Metabólica em Tecidos Infectados e pesquisa de associação clinica com grupos sanguíneos ABO;VANIA MARILANDE CECCATTO
UB;Medidas da altura de planta forrageira por tecnologia de sensores sem fio;KATHERY BRENNECKE
UB;Monitoramento eletrônico do ambiente em instalações destinadas à produção de aves, bovinos e suínos;LUIZ ARTHUR MALTA PEREIRA
UEPG;NANOCÁPSULAS DE LIGNINA E NANOCELULOSE PARA APLICAÇÕES INDUSTRIAIS;LUIS ANTONIO PINHEIRO
UNIVERITAS UNG;Inovação tecnológica e desenvolvimento de novos produtos para Ortodontia;JAMIL AWAD SHIBLI
INC;Modelagem econômica para suporte à tomada de decisão em saúde;BERNARDO RANGEL TURA
UFT;Escolas Criativas: Reconhecer e difundir o potencial inovador e criativo da escola do século XXI;MARIA JOSE DE PINHO
UERJ;MODERNIZAÇÃO DOS PROCESSOS DE GESTÃO ADMINISTRATIVA E ACADÊMICA DA SECRETARIA DO PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO: PROCESSOS FORMATIVOS E DESIGUALDADES SOCIAIS - FACULDADE DE FORMAÇÃO DE PROFESSORES – FFP/UERJ;LUIZ FERNANDO CONDE SANGENIS
UFPE;Plataforma genossensora nanoestruturada flexível baseada em polímeros orgânicos conjugados com nanopartículas metálicas para detecção de COVID-19;MARIA DANIELLY LIMA DE OLIVEIRA
USJT;Compósitos cimentícios reforçados com fibras vegetais alinhadas magneticamente;DIMAS ALAN STRAUSS RAMBO
UFRRJ;Implantação do Sistema Integrado de Centros de Documentação Histórica da UFRRJ (RIMA);ALEXANDRE FORTES
UFAL;Apoio à editoração e publicação de periódicos científicos - Ciência da Informação em Revista;EDIVANIO DUARTE DE SOUZA
UFAL;Rede de Inovação para Educação Híbrida;IBSEN MATEUS BITTENCOURT SANTANA PINTO
UFAL;Plataforma +PNE e TC Educa: Integrando Dados Conectados, Inteligência Artificial e Análise de Dados;IBSEN MATEUS BITTENCOURT SANTANA PINTO
UFAL;Estruturação Técnica do Laboratório de Conservação e Restauração (LACRE);NELMA CAMELO DE ARAUJO
UFRGS;Reprodução in vitro e congelamento de gametas como ferramentas tecnológicas para conservação do coral-cérebro Mussismilia harttii (Verrill, 1868) e recuperação de recifes degradados;YUGO MORAES PASTRANA
UFRGS;UVCOVID-19: Desenvolvimento e estabelecimento de parâmetros de desinfecção para reutilização de EPIs durante a pandemia de COVID19;LILIANA AMARAL FERIS
UFAL;Estruturação e implantação de uma Unidade da Escola Superior de Redes no Centro de Inovação do Polo Tecnológico de Alagoas;FRANCISCA ROSALINE LEITE MOTA
UFPE;ATLAS DA PRECARIEDADE HABITACIONAL EM FAVELAS DE JOÃO PESSOA E CAMPINA / PB;LIVIA IZABEL BEZERRA DE MIRANDA
INPE;PROPULSÃO DE SATÉLITES E FOGUETES;FERNANDO DE SOUZA COSTA
FURB;Valorização sustentável de resíduos da fiação de algodão da indústria têxtil;JURGEN ANDREAUS
UFCG;Produção de Software para Simular eAnalisar Processos na Indústria deAlimentos.Processo No. 304880/2020-5;HUGO MIGUEL LISBOA OLIVEIRA
UCDB;CVSOJA - VISÃO COMPUTACIONAL PARA DETECÇÃO E DOENÇAS E PRAGAS EM LAVOURAS DE SOJA MONITORADAS POR VANTS;HEMERSON PISTORI
UFBA;Biodiesel: qualidade de misturas e uso de coprodutos em produção de petróleo e biorremediação;CRISTINA MARIA ASSIS LOPES TAVARES DA MATA HERMIDA QUINTELLA
SENAI CIMATEC;Computação Visual, Tecnologias Imersivas e Interfaces Inovadoras para a Interação Humano-Computador na Indústria 4.0;INGRID WINKLER
UEL;Dispositivos, métodos e sistemas instrumentais para triagem e determinação de adulterantes na cadeia do leite;SUZANA LUCY NIXDORF
UEL;Desenvolvimento e Validação de Métodos Eletroanalíticos para a Determinação de Anti-histamínicos e Antioxidantes em Formulações Farmacêuticas;ELEN JULCILEIA ROMAO SARTORI
UEL;INVESTIGAÇÃO DAS PROPRIEDADES CRISTALOGRÁFICAS E ELETRÔNICAS DE ÓXIDOS TERNÁRIOS COM DIFERENTES ESTEQUIOMETRIAS COM VISTAS À OTIMIZAÇÃO DO SEU DESEMPENHO ELETROQUÍMICO PARA APLICAÇÃO COMO CATODO EM BATERIAS RECARREGÁVEIS AVANÇADAS DE ÍON-SÓDIO;ALEXANDRE URBANO
USP;EXTREMIDADES - EXPERIMENTAÇÕES CONSTRUTIVAS E PESQUISA DA FORMA ENTRE O ATELIER FRACCAROLI E A MATEMATECA;ARTUR SIMOES ROZESTRATEN
UFBA;Tecnologia  de prevenção/enfrentamento de violências e de cuidado a crianças e a adolescentes no âmbito da Educação Básica;NADIRLENE PEREIRA GOMES
UECE;Efeito da utilização do extrato de “Moringa oleifera” como fitoterápico no reparo ósseo em ratos Wistar machos;ANTONIO LUIZ MARTINS MAIA FILHO
UFPE;Projeto de Pesquisa Célula BIM: Implantação e desenvolvimento de uma Célula BIM na Universidade Federal de Pernambuco;MAX LIRA VERAS XAVIER DE ANDRADE
UFRJ;INOVAÇÃO E SOCIEDADE;MONICA FERREIRA MOREIRA CARVALHO CARDOSO
UFRGS;Desenvolvimento de novas tecnologias e modelos de negócios aplicáveis à construção com base em conhecimento intensivo;CARLA SCHWENGBER TEN CATEN
UNASP;INOVAÇÃO DIDÁTICA NO ENSINO SUPERIOR;DAYSE CRISTINE DANTAS BRITO NERI DE SOUZA
FIOCRUZ;Validação de uma solução tecnológica completa (extração de DNA + qPCR) para auxílio no diagnóstico;ALEXANDRE DIAS TAVARES COSTA
UB;DESENVOLVIMENTO DE APLICATIVO INFORMATIZADO PARA GERENCIAMENTO DA PECUÁRIA DE CORTE;LUIZ ARTHUR MALTA PEREIRA
UB;DESENVOLVIMENTO DE APLICATIVO INFORMATIZADO PARA GERENCIAMENTO DA PECUÁRIA DE CORTE;VANDO EDESIO SOARES
FIOCRUZ-IRR, FIOCRUZ MG;Caracterização da imunidade humoral e celular na duração da imunidade vacinal antiamarílica 17DD em crianças e adultos de áreas não endêmicas para febre amarela;OLINDO ASSIS MARTINS FILHO
UFES;Utilização de biopolímeros para redução de arrasto em sistemas de transporte de fluidos.;RENATO DO NASCIMENTO SIQUEIRA
IFES;Implementar e desenvolver novos métodos de reciclagem de materiais poliméricos, cerâmicos e metálicos.;ANDRE GUSTAVO DE SOUSA GALDINO
UMC;JOGOS E AMBIENTES VIRTUAIS NO PROCESSO DE REABILITAÇÃO MOTORA;SILVIA REGINA MATOS DA SILVA BOSCHI
UECE;White Box Switch;GERARDO VALDISIO RODRIGUES VIANA
UFPE;ME-DUSA, Módulo Experimental de Desenho Urbano Sensível às Águas – recuperação de riachos urbanos na bacia do rio Capibaribe, Recife: o riacho Parnamirim como base para a construção de um repertório de intervenção;FABIANO ROCHA DINIZ
UFBA;Fabricação de um biocompósito reforçado constituído de micélio fúngico/fibra de sisal;MARCOS MALTA DOS SANTOS
USP;A formação de professores para inovar a educação brasileira;ULISSES FERREIRA DE ARAUJO
PUCRS;"SMART - Desenvolvimento inteligente de inibidores de corrosão de aço pelo CO2 a partir de ensaios experimentais e métodos de ""Materials Informatics";FELIPE DALLA VECCHIA
UFPEL;REACLOUD: Solução para armazenamento e recuperação de REAs adaptados a BNCC para suporte ao Ensino Básico;TIAGO THOMPSEN PRIMO
UFPEL;Estímulo da Cooperação Empresarial para Implantação de Projetos de Inovação Aberta no Ecossistema de Inovação da Região Sul do RS;FELIPE DE SOUZA MARQUES
PUC-RIO;Merchant Reconciliation System (MRS) for Personal Financial Management (PFM);SERGIO COLCHER
UFMS;Avanços no Diagnóstico do Mormo Equino no Brasil;EMANUELLE BALDO GASPAR
UCS;Desenvolvimento de um compósito a base de grafeno para uso em escovas para motores elétricos de corrente contínua - IMOgrafeno;JADNA CATAFESTA
UNB;RAPHA: Desenvolvimento de uma Lamina para Pé Diabético Derivada do Látex Natural para Indução de Cicatrização;SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA
UB;Desenvolvimento de sistemas tecnológicos, computacionais e ferramentas eletrônicas para auxílio na produção animal;LUIZ ARTHUR MALTA PEREIRA
UNIOESTE;Desenvolvimento da tecnologia da liofilização à produtos a base de pescado;ALTEVIR SIGNOR
UNIOESTE;Sistema de criação de bioflocos com altas densidades;ALTEVIR SIGNOR
